Channel ID,Year,Date,Day,Start Time,Duration,Programme,Programme(en),Episode #,Episode Title
SW TW,2013,12.1,日,00:00,,凱莉日記 Carrie Diaries 1,,,
SW TW,2013,12.1,日,01:00,,追愛總動員6  How I Met Your Mother S6  11-12,,,
SW TW,2013,12.1,日,02:00,,復仇 2 Revenge 2 2,,,
SW TW,2013,12.1,日,03:00,,熟女當道 4 Cougar Town 4 11-12,,,
SW TW,2013,12.1,日,04:00,,醜聞風暴 2 Scandal 2 5,,,
SW TW,2013,12.1,日,05:00,,頂尖主廚之甜品大對決 2 Top Chef: Just Desserts 2 6,,,
SW TW,2013,12.1,日,06:00,,蛋糕天后 2 DC Cupcakes 2 3-4,,,
SW TW,2013,12.1,日,07:00,,上流名醫 4 Royal Pains 4 5,,,
SW TW,2013,12.1,日,08:00,,追愛總動員6  How I Met Your Mother S6  9-10,,,
SW TW,2013,12.1,日,09:00,,新年名模日 美國超級名模生死鬥 19 America's Next Top Model S19 1,,,
SW TW,2013,12.1,日,10:00,,美國超級名模生死鬥 19 America's Next Top Model S19 2,,,
SW TW,2013,12.1,日,11:00,,美國超級名模生死鬥 19 America's Next Top Model S19 3,,,
SW TW,2013,12.1,日,12:00,,美國超級名模生死鬥 19 America's Next Top Model S19 4,,,
SW TW,2013,12.1,日,13:00,,美國超級名模生死鬥 19 America's Next Top Model S19 5,,,
SW TW,2013,12.1,日,14:00,,美國超級名模生死鬥 19 America's Next Top Model S19 6,,,
SW TW,2013,12.1,日,15:00,,美國超級名模生死鬥 19 America's Next Top Model S19 7,,,
SW TW,2013,12.1,日,16:00,,美國超級名模生死鬥 19 America's Next Top Model S19 8,,,
SW TW,2013,12.1,日,17:00,,美國超級名模生死鬥 19 America's Next Top Model S19 9,,,
SW TW,2013,12.1,日,18:00,,美國超級名模生死鬥 19 America's Next Top Model S19 10,,,
SW TW,2013,12.1,日,19:00,,美國超級名模生死鬥 19 America's Next Top Model S19 11,,,
SW TW,2013,12.1,日,20:00,,美國超級名模生死鬥 19 America's Next Top Model S19 12,,,
SW TW,2013,12.1,日,21:00,,美國超級名模生死鬥 19 America's Next Top Model S19 13,,,
SW TW,2013,12.1,日,22:00,,美國超級名模生死鬥 20: 男女爭霸 America's Next Top Model 20 1,,,
SW TW,2013,12.1,日,23:00,,美國超級名模生死鬥 20: 男女爭霸 America's Next Top Model 20 2,,,
SW TW,2013,12.2,一,00:00,,凱莉日記 Carrie Diaries 2,,,
SW TW,2013,12.2,一,01:00,,追愛總動員6  How I Met Your Mother S6  12-13,,,
SW TW,2013,12.2,一,02:00,,復仇 2 Revenge 2 3,,,
SW TW,2013,12.2,一,03:00,,熟女當道 4 Cougar Town 4 12-13,,,
SW TW,2013,12.2,一,04:00,,醜聞風暴 2 Scandal 2 6,,,
SW TW,2013,12.2,一,05:00,,頂尖主廚之甜品大對決 2 Top Chef: Just Desserts 2 7,,,
SW TW,2013,12.2,一,06:00,,蛋糕天后 2 DC Cupcakes 2 4-5,,,
SW TW,2013,12.2,一,07:00,,上流名醫 4 Royal Pains 4 6,,,
SW TW,2013,12.2,一,08:00,,追愛總動員6  How I Met Your Mother S6  10-11,,,
SW TW,2013,12.2,一,09:00,,醜聞風暴 2 Scandal 2 4,,,
SW TW,2013,12.2,一,10:00,,新飛越比佛利 5 90210 S5 4,,,
SW TW,2013,12.2,一,11:00,,蛋糕天后 2 DC Cupcakes 2 2-3,,,
SW TW,2013,12.2,一,12:00,,頂尖主廚之甜品大對決 2 Top Chef: Just Desserts 2 6,,,
SW TW,2013,12.2,一,13:00,,凱莉日記 Carrie Diaries 2,,,
